date,ticker,open,high,low,close,adj_close,volume,ret,ret2,rv1_var,rv5_var,regime,hv1_var,hv5_var,ewma1_var,ewma5_var,garch1_var,garch5_var,gjr1_var,gjr5_var,rv_d,rv_w,rv_m,har1_var,har5_var,ens1_var,ens5_var
2000-01-10,JPM,48.5,48.91666793823242,47.66666793823242,47.66666793823242,22.389448165893555,4723500,-1.733113286522114,3.003681663919483,5.704863324566562,14.393872086466628,calm,,,5.291806144023772,26.45903072011886,,,,,,,,,,,
2000-01-10,SPY,146.25,146.90625,145.03125,146.25,91.641845703125,5741700,0.34241953540255715,0.11725113822530309,1.4489770463378813,36.09257571964705,calm,,,1.468517072544483,7.3425853627224145,,,,,,,,,,,
2000-01-11,JPM,46.66666793823242,46.95833206176758,45.5,46.54166793823242,21.86101531982422,8405550,-2.3884855713540665,5.704863324566562,0.39031618518903116,14.40073624811319,calm,,,5.154518675217514,25.77259337608757,,,,,5.704863324566562,,,,,,
2000-01-11,SPY,145.8125,146.09375,143.5,144.5,90.54533386230469,7503700,-1.2037346245489,1.4489770463378813,0.9996739779903292,37.06031360415159,calm,,,1.3874411164853322,6.937205582426661,,,,,1.4489770463378813,,,,,,
2000-01-12,JPM,46.45833206176758,47.25,46.33333206176758,46.83333206176758,21.99802017211914,7271850,0.6247528993042218,0.39031618518903116,2.253448345328121,14.666889113177792,calm,,,5.187539354178457,25.937696770892288,,,,,0.39031618518903116,,,,,,
2000-01-12,SPY,144.59375,144.59375,142.875,143.0625,89.64453887939453,6907700,-0.9998369757067045,0.9996739779903292,1.8096670037975133,36.244830125467864,calm,,,1.391133272276485,6.955666361382425,,,,,0.9996739779903292,,,,,,
2000-01-13,JPM,47.41666793823242,48.33333206176758,47.04166793823242,47.54166793823242,22.330734252929688,6918900,1.501149008369296,2.253448345328121,12.463046813958748,23.815356332961944,calm,,,4.899705964039091,24.498529820195458,,,,,2.253448345328121,,,,,,
2000-01-13,SPY,144.46875,145.75,143.28125,145.0,90.8586196899414,5158300,1.3452386419507556,1.8096670037975133,1.818880571955336,6.194449738306363,calm,,,1.3676457146193157,6.838228573096579,,,,,1.8096670037975133,,,,,,
2000-01-14,JPM,49.29166793823242,50.5,48.54166793823242,49.25,23.13315773010254,9731850,3.530304068201314,12.463046813958748,15.756988258576063,36.568662927618526,calm,,,4.740930506916433,23.704652534582166,,,,,12.463046813958748,,,,,,
2000-01-14,SPY,146.53125,147.46875,145.96875,146.96875,92.09229278564453,7437300,1.3486588048707264,1.818880571955336,0.6239018652596888,6.701100465340749,calm,,,1.3941669919700075,6.970834959850038,,,,,1.818880571955336,,,,,,
